epoch time D_loss G_loss mmd2 that pdf real_pdf
0 60.059401512145996 0.0416015 7.78925 1.00614 10061.4 NA NA
1 119.9071192741394 0.291616 2.84195 0.00305176 30.5176 NA NA
2 180.02722001075745 1.08413 1.64015 0.00323367 32.3367 NA NA
3 233.97372579574585 0.117995 4.39895 0.201135 469.03 NA NA
4 284.84072971343994 0.637718 2.26034 0.136782 63.4163 NA NA
5 336.8748462200165 0.656606 2.29146 0.0837154 42.1134 NA NA
6 388.5604214668274 0.933263 1.53673 0.136675 58.2301 NA NA
7 440.1672558784485 1.05672 0.966582 0.155946 67.7069 NA NA
8 491.87651443481445 0.66928 2.11471 0.265119 94.4916 NA NA
9 543.7010707855225 0.797026 1.68867 0.223972 68.8427 NA NA
10 595.2310330867767 0.768751 1.53266 0.208665 68.0875 NA NA
11 648.2390418052673 0.726606 1.69056 0.103835 87.435 NA NA
12 701.3485815525055 0.779988 1.52969 0.0595196 69.0746 NA NA
13 754.2144641876221 0.578857 2.63945 0.0143645 74.6293 NA NA
14 808.119621515274 0.523909 2.48553 0.00556481 55.6481 NA NA
15 860.3825788497925 0.64798 2.22223 0.0269595 86.163 NA NA
16 912.5516562461853 0.737505 2.45186 0.112583 77.706 NA NA
17 964.6473517417908 0.617235 2.61695 0.137844 54.1554 NA NA
18 1016.419985294342 0.751408 2.70464 0.0661352 65.4594 NA NA
19 1076.5949642658234 0.59943 1.96279 0.00638759 63.8759 NA NA
20 1136.090665102005 0.442217 2.85428 0.00481987 48.1987 NA NA
21 1191.4337918758392 0.489901 2.6354 0.00260651 26.0651 NA NA
22 1251.8352110385895 0.559868 1.96607 0.00224757 22.4757 NA NA
23 1311.5339405536652 0.473801 3.57752 0.00222015 22.2015 NA NA
24 1371.3282389640808 0.577801 2.69146 0.00236046 23.6046 NA NA
25 1427.4044215679169 0.723319 2.80128 0.0020597 20.597 NA NA
26 1482.7361476421356 0.491098 2.63906 0.00220954 22.0954 NA NA
27 1540.6417751312256 0.526917 2.14553 0.0021081 21.081 NA NA
28 1593.6587541103363 0.467891 2.6485 0.00246489 24.6489 NA NA
29 1653.143882036209 0.533627 2.64977 0.00246751 24.6751 NA NA
30 1713.362027168274 0.59992 2.55115 0.00192821 19.2821 NA NA
31 1774.664751291275 0.66594 2.08997 0.00213337 21.3337 NA NA
32 1827.7006902694702 0.470039 2.36362 0.00153029 15.3029 NA NA
33 1889.6837632656097 0.546559 2.57325 0.00231194 23.1194 NA NA
34 1950.2516827583313 0.643213 2.4795 0.00256276 25.6276 NA NA
35 2012.906422138214 0.49166 2.76711 0.0031693 31.693 NA NA
36 2066.9247722625732 0.585435 3.10357 0.013624 23.6076 NA NA
37 2120.1727113723755 0.414979 3.51003 0.00486112 28.7682 NA NA
38 2181.5115547180176 0.46239 2.29822 0.00211871 21.1871 NA NA
39 2243.7937240600586 0.349302 3.39998 0.00232673 23.2673 NA NA
40 2297.1247935295105 0.352428 2.89458 0.0033468 33.3498 NA NA
41 2360.4559619426727 0.326241 4.29366 0.0031532 31.532 NA NA
42 2421.985249042511 0.746117 2.40839 0.00212967 21.2967 NA NA
