epoch time D_loss G_loss mmd2 that pdf real_pdf
0 31.491631746292114 6.89188 0.0268772 0.322803 139.706 NA NA
1 62.43908977508545 1.26307 1.27471 0.159011 42.8055 NA NA
2 91.70321345329285 0.388882 3.9666 0.671928 173.823 NA NA
3 121.3676872253418 0.193178 4.06541 0.625463 94.3703 NA NA
4 150.9860484600067 0.584556 3.15948 0.483558 97.7919 NA NA
5 180.2546718120575 0.949481 1.59179 0.223123 52.612 NA NA
6 209.99353551864624 0.934466 3.39229 0.364047 75.7457 NA NA
7 239.93931436538696 0.510009 2.44705 0.260592 80.4302 NA NA
8 269.1124167442322 0.754619 1.91959 0.395434 89.7565 NA NA
9 306.607741355896 1.04959 1.29905 0.130422 83.1777 NA NA
10 335.73397850990295 0.610783 2.68111 0.154664 46.9349 NA NA
11 366.3532683849335 0.669402 2.90889 0.109858 40.53 NA NA
12 396.22395610809326 0.460535 3.06224 0.138069 44.8141 NA NA
13 425.13504815101624 0.536016 2.98748 0.0787512 50.1866 NA NA
14 454.4715118408203 0.429519 3.77005 0.106204 52.714 NA NA
15 483.9349205493927 0.50769 4.11156 0.208928 62.7932 NA NA
16 513.6884005069733 0.672249 3.54669 0.260533 73.3813 NA NA
17 543.1522433757782 0.604719 3.50466 0.110457 80.2597 NA NA
18 572.8618562221527 0.362029 4.96761 0.243077 96.9665 NA NA
19 601.8553199768066 0.477131 4.53482 0.203787 87.1605 NA NA
20 638.3898346424103 0.501509 4.26397 0.145333 94.2158 NA NA
21 675.7252247333527 0.43322 3.64801 0.142836 64.6163 NA NA
22 704.704939365387 0.382238 4.28687 0.25878 77.4504 NA NA
23 732.9085025787354 0.400678 5.25945 0.246896 74.4158 NA NA
24 761.2448027133942 0.522238 3.95485 0.370995 98.2678 NA NA
25 789.821051120758 0.369637 3.37605 0.409792 111.305 NA NA
26 818.8957314491272 0.966975 3.0559 0.188142 66.2185 NA NA
27 848.6655514240265 0.203099 5.80384 0.319913 92.2555 NA NA
28 878.1432502269745 0.47156 3.61521 0.127918 66.3046 NA NA
29 907.556168794632 0.474826 4.33849 0.0016813 16.813 NA NA
30 937.2370295524597 0.387197 3.16618 0.00172703 17.2703 NA NA
31 968.0183455944061 0.516991 3.61336 0.00169961 16.9961 NA NA
32 997.6902532577515 0.470455 2.80341 0.00171998 17.1998 NA NA
33 1027.2770936489105 0.30902 5.1139 0.00171218 17.1218 NA NA
