epoch time D_loss G_loss mmd2 that pdf real_pdf
0 36.89187049865723 0.175147 6.2345 nan nan NA NA
1 67.33337593078613 0.101167 5.27292 nan nan NA NA
2 96.86769914627075 0.0338204 8.52511 nan nan NA NA
3 127.00362348556519 0.0212235 9.70925 nan nan NA NA
4 156.25182723999023 0.0178165 10.5295 nan nan NA NA
5 185.73807573318481 0.0125197 11.1782 nan nan NA NA
6 215.27425146102905 0.00991875 11.6037 nan nan NA NA
7 245.02253890037537 0.00985654 11.9899 nan nan NA NA
8 274.04470658302307 0.00756075 12.4315 nan nan NA NA
9 303.4824094772339 0.00882534 12.6578 nan nan NA NA
10 332.5559184551239 0.00941054 12.9847 nan nan NA NA
11 362.43915605545044 0.00710436 13.1503 nan nan NA NA
12 393.86832070350647 0.0062477 13.3725 nan nan NA NA
13 422.77005076408386 0.00668915 13.5549 nan nan NA NA
14 451.9479727745056 0.00721422 13.7999 nan nan NA NA
15 481.10557889938354 0.00702076 13.8569 nan nan NA NA
16 510.1072692871094 0.0063425 14.2311 nan nan NA NA
17 538.6146428585052 0.135581 7.04685 nan nan NA NA
18 567.5877499580383 0.100366 3.9915 nan nan NA NA
19 596.3635160923004 0.0700528 6.01766 nan nan NA NA
20 625.4020388126373 0.663276 2.90535 nan nan NA NA
21 654.9245462417603 0.121749 3.7802 nan nan NA NA
22 684.3482608795166 1.20237 2.43331 nan nan NA NA
23 715.8913810253143 1.55131 0.729652 nan nan NA NA
24 745.0844495296478 1.39464 1.83267 nan nan NA NA
25 776.8584406375885 1.24858 1.05448 nan nan NA NA
26 807.0259764194489 0.865199 1.68597 nan nan NA NA
27 837.1596410274506 0.661966 2.07809 nan nan NA NA
28 867.0305073261261 0.201558 5.20358 nan nan NA NA
29 897.2959570884705 0.350905 5.35743 nan nan NA NA
30 927.8842852115631 0.836961 2.48025 nan nan NA NA
31 958.6270043849945 0.825154 1.88566 nan nan NA NA
32 988.9463300704956 0.66792 2.51236 nan nan NA NA
33 1018.2930829524994 0.346416 4.55722 nan nan NA NA
34 1048.3560421466827 0.483019 3.54306 nan nan NA NA
35 1079.0558550357819 0.580981 3.69095 nan nan NA NA
36 1109.2661838531494 0.397 3.37774 nan nan NA NA
37 1138.485681295395 0.229683 6.00844 nan nan NA NA
38 1168.7449095249176 0.392882 3.79081 nan nan NA NA
39 1198.6115365028381 0.435993 3.57441 nan nan NA NA
40 1227.773042678833 0.427612 4.21714 nan nan NA NA
41 1258.8059613704681 0.625945 4.00331 nan nan NA NA
42 1289.3093926906586 0.727312 4.48395 nan nan NA NA
43 1319.8525421619415 0.448179 3.68463 nan nan NA NA
44 1350.2615661621094 0.439292 3.89262 nan nan NA NA
45 1379.6967542171478 0.755103 2.03887 nan nan NA NA
46 1408.9763851165771 0.532352 3.36475 nan nan NA NA
47 1438.204247713089 0.344296 4.94889 nan nan NA NA
48 1468.1835083961487 0.58296 3.49775 nan nan NA NA
49 1497.5528011322021 0.410511 4.18203 nan nan NA NA
50 1527.5612344741821 0.924468 1.99704 nan nan NA NA
51 1558.3012874126434 0.467694 5.3526 nan nan NA NA
52 1587.6553790569305 0.258144 7.42118 nan nan NA NA
53 1617.4938099384308 0.338522 4.79499 nan nan NA NA
54 1647.6910002231598 0.667411 2.51564 nan nan NA NA
55 1677.399019241333 0.356122 5.77977 nan nan NA NA
56 1706.9005153179169 0.583745 4.89585 nan nan NA NA
57 1737.074505329132 0.394108 5.53186 nan nan NA NA
58 1766.7782871723175 0.567075 4.17704 nan nan NA NA
59 1797.078456878662 0.373359 4.18517 nan nan NA NA
60 1827.3886659145355 0.439227 3.52723 nan nan NA NA
61 1857.7897181510925 0.351293 4.39048 nan nan NA NA
62 1887.6637024879456 0.358068 7.23085 nan nan NA NA
63 1917.8261370658875 0.316934 4.85167 nan nan NA NA
64 1947.7602219581604 0.372089 6.85604 nan nan NA NA
65 1977.7560722827911 0.314089 6.44327 nan nan NA NA
66 2007.8786826133728 0.558688 3.40603 nan nan NA NA
67 2037.990914106369 0.453284 4.39289 nan nan NA NA
68 2067.878083229065 0.424156 3.82844 nan nan NA NA
69 2097.9249057769775 0.26528 4.66738 nan nan NA NA
70 2128.130407810211 0.324379 4.83825 nan nan NA NA
71 2159.328841686249 0.237846 6.99051 nan nan NA NA
72 2189.2557833194733 0.308375 7.30856 nan nan NA NA
73 2219.536019563675 0.325722 4.46607 nan nan NA NA
74 2249.5022745132446 0.413215 4.63572 nan nan NA NA
75 2279.7959570884705 2.36951 3.60816 nan nan NA NA
76 2310.1423161029816 0.247079 5.28951 nan nan NA NA
77 2340.101219892502 0.34203 5.78648 nan nan NA NA
78 2369.8466515541077 0.25556 6.87932 nan nan NA NA
79 2400.2927618026733 0.302562 5.69886 nan nan NA NA
80 2430.3278748989105 0.412707 5.43442 nan nan NA NA
81 2461.286262512207 0.290288 6.72134 nan nan NA NA
82 2491.3157255649567 0.227778 7.97398 nan nan NA NA
83 2521.2123441696167 0.273395 5.95332 nan nan NA NA
84 2552.028207063675 0.435626 5.05104 nan nan NA NA
85 2582.256336212158 0.257509 6.60064 nan nan NA NA
86 2612.488909482956 0.39518 4.76045 nan nan NA NA
87 2642.5649263858795 0.780006 2.78038 nan nan NA NA
88 2672.924871444702 0.361777 7.27315 nan nan NA NA
89 2703.681093931198 0.302498 5.75041 nan nan NA NA
90 2733.7783682346344 0.363337 5.80586 nan nan NA NA
91 2764.6454627513885 0.433557 5.70359 nan nan NA NA
92 2794.9313349723816 0.431232 5.47592 nan nan NA NA
93 2825.005440235138 0.20559 10.1183 nan nan NA NA
94 2855.4586803913116 0.259183 7.89247 nan nan NA NA
95 2885.783064842224 0.249756 5.53512 nan nan NA NA
96 2916.2576274871826 0.246357 6.04226 nan nan NA NA
97 2946.3444805145264 0.391762 5.9624 nan nan NA NA
98 2976.665372610092 1.45133 3.85753 nan nan NA NA
99 3006.8378319740295 0.299781 5.37 nan nan NA NA
100 3036.9583899974823 0.427559 3.41751 nan nan NA NA
101 3068.695165872574 0.191566 6.32783 nan nan NA NA
102 3099.238923549652 0.320914 6.40866 nan nan NA NA
103 3129.460194826126 0.324605 5.19471 nan nan NA NA
104 3159.133503675461 0.312745 5.5308 nan nan NA NA
105 3188.7928836345673 0.258147 6.52123 nan nan NA NA
106 3218.5557639598846 0.203234 11.0659 nan nan NA NA
107 3248.380858898163 0.209774 6.55626 nan nan NA NA
108 3278.7467107772827 0.391628 4.84349 nan nan NA NA
109 3309.6108198165894 0.328338 5.27657 nan nan NA NA
110 3340.2052063941956 0.405082 5.12128 nan nan NA NA
111 3371.1263148784637 0.247208 7.2044 nan nan NA NA
112 3401.452855348587 0.240938 5.58289 nan nan NA NA
113 3432.530651330948 0.39543 4.48458 nan nan NA NA
114 3463.521804332733 0.326663 5.02623 nan nan NA NA
115 3493.7353131771088 0.404214 4.94833 nan nan NA NA
116 3523.8593230247498 0.307077 5.97186 nan nan NA NA
117 3554.438965320587 0.260083 5.92073 nan nan NA NA
118 3584.9597091674805 0.523999 3.32559 nan nan NA NA
119 3615.2661442756653 0.290395 6.55008 nan nan NA NA
120 3645.905399084091 0.229007 6.17714 nan nan NA NA
121 3677.218273639679 0.203738 6.29345 nan nan NA NA
122 3707.771020412445 0.344549 5.14578 nan nan NA NA
123 3737.9724559783936 0.298151 6.57146 nan nan NA NA
124 3768.778955936432 0.735011 2.88045 nan nan NA NA
125 3799.556479215622 0.375874 4.97491 nan nan NA NA
126 3830.7352643013 0.269067 6.2063 nan nan NA NA
127 3862.166976928711 0.279854 5.90689 nan nan NA NA
128 3892.826323747635 0.258663 6.14278 nan nan NA NA
129 3924.084748983383 0.277272 8.20483 nan nan NA NA
130 3955.44029211998 0.275016 4.74219 nan nan NA NA
131 3987.647211790085 0.371924 5.05237 nan nan NA NA
132 4019.3341813087463 0.288198 5.6541 nan nan NA NA
133 4050.453346967697 0.287463 4.79593 nan nan NA NA
134 4082.5878295898438 0.248876 6.61319 nan nan NA NA
135 4113.8696892261505 0.40788 6.40189 nan nan NA NA
136 4145.395210504532 0.273077 5.6981 nan nan NA NA
137 4176.948865652084 0.308013 5.42037 nan nan NA NA
138 4208.377365589142 0.475481 3.91297 nan nan NA NA
139 4240.292525529861 0.53678 5.50354 nan nan NA NA
140 4271.649733304977 0.289568 6.29311 nan nan NA NA
141 4303.9030385017395 0.36601 6.01287 nan nan NA NA
142 4334.963081359863 0.304244 6.11885 nan nan NA NA
143 4366.078871488571 0.324906 5.46163 nan nan NA NA
144 4396.629481077194 0.278532 5.9028 nan nan NA NA
145 4427.593643426895 0.368846 5.2638 nan nan NA NA
146 4459.415850400925 0.434663 3.86044 nan nan NA NA
147 4490.698277711868 0.326254 5.18973 nan nan NA NA
148 4522.741302013397 0.29804 5.73099 nan nan NA NA
149 4553.802124500275 0.18744 7.74173 nan nan NA NA
150 4585.524214506149 0.245537 5.51514 nan nan NA NA
151 4617.93399310112 0.186165 7.41978 nan nan NA NA
152 4649.567056179047 0.353557 6.48668 nan nan NA NA
153 4681.4766364097595 0.219936 6.04698 nan nan NA NA
154 4712.631752490997 0.28493 4.90663 nan nan NA NA
155 4743.398355722427 0.285755 5.19833 nan nan NA NA
156 4774.0070214271545 0.367976 4.30035 nan nan NA NA
157 4804.7602660655975 0.169706 7.63337 nan nan NA NA
158 4835.768145561218 0.15288 7.01473 nan nan NA NA
159 4867.098052024841 0.170285 9.17916 nan nan NA NA
160 4899.067896604538 0.152775 9.40034 nan nan NA NA
161 4931.954522371292 0.200553 8.57889 nan nan NA NA
162 4963.65594959259 0.204369 8.29743 nan nan NA NA
163 4995.344810724258 0.234061 7.58863 nan nan NA NA
164 5027.039342403412 0.154049 7.40374 nan nan NA NA
165 5058.864986896515 0.188962 7.33414 nan nan NA NA
166 5090.887283086777 0.474129 4.66881 nan nan NA NA
167 5122.509847402573 0.281052 4.74169 nan nan NA NA
168 5155.485387802124 0.31044 5.91085 nan nan NA NA
169 5187.417793273926 0.235094 6.14474 nan nan NA NA
170 5219.021049499512 0.190913 7.8332 nan nan NA NA
171 5251.800643444061 0.263777 7.25884 nan nan NA NA
172 5283.388597011566 0.267203 6.14569 nan nan NA NA
173 5315.088536977768 0.256852 6.44913 nan nan NA NA
174 5346.896392583847 0.24454 5.28756 nan nan NA NA
175 5378.755185365677 0.260768 6.06267 nan nan NA NA
176 5411.542815685272 0.189829 7.39313 nan nan NA NA
177 5443.946082830429 0.387814 5.97067 nan nan NA NA
178 5476.330259561539 0.253504 7.7947 nan nan NA NA
179 5508.054958820343 0.518587 4.74908 nan nan NA NA
180 5540.490443706512 0.305983 4.98244 nan nan NA NA
181 5573.534018278122 0.248152 4.75996 nan nan NA NA
182 5606.055688381195 0.201394 6.76791 nan nan NA NA
183 5638.560180902481 0.251689 6.45304 nan nan NA NA
184 5671.377876996994 0.232192 6.43732 nan nan NA NA
185 5703.402682304382 0.21261 7.35708 nan nan NA NA
186 5736.25640130043 0.254381 6.114 nan nan NA NA
187 5767.814519405365 0.165619 10.0802 nan nan NA NA
188 5800.051667690277 0.243249 6.97577 nan nan NA NA
189 5832.147141695023 0.22031 6.15313 nan nan NA NA
190 5864.188785791397 0.236332 7.11996 nan nan NA NA
191 5897.148730754852 0.251877 6.50137 nan nan NA NA
192 5929.010566473007 0.215325 6.83743 nan nan NA NA
193 5961.6678874492645 0.228326 6.97611 nan nan NA NA
194 5993.027231216431 0.310785 6.78953 nan nan NA NA
195 6024.299067735672 0.18414 7.61933 nan nan NA NA
196 6055.974165916443 0.179762 9.50012 nan nan NA NA
197 6088.332783699036 0.146618 11.1317 nan nan NA NA
198 6120.283658027649 0.159514 8.99363 nan nan NA NA
199 6152.472982168198 0.174423 9.0282 nan nan NA NA
200 6184.5983827114105 0.176351 8.75964 nan nan NA NA
201 6218.296625852585 0.299941 7.95101 nan nan NA NA
202 6251.112182378769 0.155056 11.5888 nan nan NA NA
203 6282.498341560364 0.15768 8.84262 nan nan NA NA
204 6314.219000816345 0.154443 7.1197 nan nan NA NA
205 6344.831522941589 0.186165 7.72757 nan nan NA NA
206 6376.219747066498 0.142647 9.92172 nan nan NA NA
207 6407.3541078567505 0.178614 8.69243 nan nan NA NA
208 6438.481507301331 0.147393 9.99931 nan nan NA NA
209 6470.002157688141 0.165038 10.1349 nan nan NA NA
210 6501.565232753754 0.144885 9.10089 nan nan NA NA
211 6534.635243177414 0.201523 8.63476 nan nan NA NA
212 6566.799319267273 0.169224 7.44238 nan nan NA NA
213 6599.111175060272 0.142556 11.0963 nan nan NA NA
214 6631.070763349533 0.177428 8.12514 nan nan NA NA
215 6663.843918800354 0.163259 8.55093 nan nan NA NA
216 6696.083189487457 0.189065 7.88779 nan nan NA NA
217 6728.558346033096 0.181247 7.43396 nan nan NA NA
218 6760.558146238327 0.185845 8.67466 nan nan NA NA
219 6792.443407535553 0.193482 6.84252 nan nan NA NA
220 6824.896847963333 0.2003 9.63791 nan nan NA NA
221 6858.758657693863 0.210729 6.91347 nan nan NA NA
222 6891.113478422165 0.150966 8.37766 nan nan NA NA
223 6923.038190126419 0.166835 7.67039 nan nan NA NA
224 6955.3348162174225 0.180486 7.03278 nan nan NA NA
225 6994.227916717529 0.177783 7.93796 nan nan NA NA
226 7027.175750017166 0.141045 8.12401 nan nan NA NA
227 7063.677531719208 0.169505 8.63067 nan nan NA NA
228 7096.9428651332855 0.218789 7.10116 nan nan NA NA
229 7130.742949962616 0.224845 9.229 nan nan NA NA
230 7165.367054224014 0.123482 10.123 nan nan NA NA
231 7199.486577987671 0.142545 8.07822 nan nan NA NA
232 7231.94540309906 0.244309 6.9357 nan nan NA NA
233 7264.588750600815 0.288143 6.48336 nan nan NA NA
234 7297.95543551445 0.198602 7.56066 nan nan NA NA
235 7331.157557964325 0.272329 6.88507 nan nan NA NA
236 7364.037926912308 2.2089 6.03766 nan nan NA NA
237 7397.015074491501 0.160598 9.42029 nan nan NA NA
238 7429.791576862335 0.267811 5.05888 nan nan NA NA
239 7462.354127883911 0.191354 6.39358 nan nan NA NA
240 7494.751136541367 0.17788 6.60879 nan nan NA NA
241 7528.621696472168 0.292234 5.42819 nan nan NA NA
242 7560.818573951721 0.214218 6.57939 nan nan NA NA
243 7593.2385013103485 0.453022 8.08073 nan nan NA NA
244 7625.693204164505 0.199633 7.09386 nan nan NA NA
245 7658.395952701569 0.252322 7.41777 nan nan NA NA
246 7691.162342071533 0.274489 5.72 nan nan NA NA
247 7724.231018066406 0.202539 8.71078 nan nan NA NA
248 7757.4007687568665 0.360405 7.60079 nan nan NA NA
249 7790.4246916770935 0.23886 5.73937 nan nan NA NA
250 7823.397534132004 0.25792 6.79671 nan nan NA NA
251 7857.499000787735 0.200745 6.30211 nan nan NA NA
252 7891.971227645874 0.261905 5.96256 nan nan NA NA
253 7924.741108894348 0.182191 7.80917 nan nan NA NA
254 7957.289989948273 0.27233 5.89981 nan nan NA NA
255 7989.722385406494 0.144091 6.49579 nan nan NA NA
256 8022.387736320496 0.26785 7.13957 nan nan NA NA
257 8055.117554187775 0.393218 4.85603 nan nan NA NA
258 8087.599204778671 0.226399 6.98564 nan nan NA NA
259 8120.797039270401 0.325202 4.54555 nan nan NA NA
260 8154.636968374252 0.329721 6.1698 nan nan NA NA
261 8188.988078355789 0.175947 7.84571 nan nan NA NA
262 8222.154696464539 0.194975 7.03226 nan nan NA NA
263 8256.594552516937 0.162302 11.6432 nan nan NA NA
264 8290.445323705673 0.22397 7.28869 nan nan NA NA
265 8323.345017433167 0.175376 9.30847 nan nan NA NA
266 8355.992755651474 0.208256 8.5067 nan nan NA NA
267 8388.91159772873 0.221645 5.74768 nan nan NA NA
268 8422.049800872803 0.201016 6.73838 nan nan NA NA
269 8455.090653181076 0.176953 7.01419 nan nan NA NA
270 8488.468567609787 0.161272 6.00412 nan nan NA NA
271 8522.74400806427 0.187169 5.76387 nan nan NA NA
272 8556.1574447155 0.16896 8.79543 nan nan NA NA
273 8588.781173229218 0.141529 9.30879 nan nan NA NA
274 8622.104053020477 0.196307 7.11926 nan nan NA NA
275 8661.394005537033 0.294328 6.64439 nan nan NA NA
276 8697.11428141594 0.167377 7.07026 nan nan NA NA
277 8730.391475915909 0.16834 8.93336 nan nan NA NA
278 8763.792003631592 0.364497 5.61639 nan nan NA NA
279 8796.290187120438 0.20089 8.14107 nan nan NA NA
280 8835.11663556099 0.511156 4.2934 nan nan NA NA
281 8870.72554898262 0.176939 6.81318 nan nan NA NA
282 8905.220572710037 0.146138 7.14054 nan nan NA NA
283 8938.957156419754 0.222101 6.36575 nan nan NA NA
284 8972.534539937973 0.172194 8.26703 nan nan NA NA
285 9005.796626091003 0.202029 8.7017 nan nan NA NA
286 9039.230184793472 0.198592 8.29272 nan nan NA NA
287 9072.714998960495 0.14204 7.78847 nan nan NA NA
288 9106.500142097473 0.198383 7.77415 nan nan NA NA
289 9140.207209825516 0.174458 7.68475 nan nan NA NA
290 9173.58504152298 0.142057 11.2304 nan nan NA NA
291 9207.67003083229 0.166623 9.33454 nan nan NA NA
292 9240.58885216713 0.158118 10.033 nan nan NA NA
293 9273.50194311142 0.150989 9.62791 nan nan NA NA
294 9307.1909866333 0.133814 10.5972 nan nan NA NA
295 9341.128104686737 0.127389 11.0252 nan nan NA NA
296 9374.874918460846 0.120907 12.7488 nan nan NA NA
297 9408.53273820877 0.11609 11.5072 nan nan NA NA
298 9442.166479825974 0.128022 11.0426 nan nan NA NA
299 9475.546945095062 0.125893 10.4441 nan nan NA NA
300 9509.836808919907 0.126591 10.9321 nan nan NA NA
301 9543.88940000534 0.122242 10.2543 nan nan NA NA
302 9577.18811917305 0.107614 10.0177 nan nan NA NA
303 9610.370012521744 0.124731 10.9642 nan nan NA NA
304 9643.856916189194 0.105919 11.5307 nan nan NA NA
305 9677.547230005264 0.104231 9.49243 nan nan NA NA
306 9711.057250022888 0.134174 9.71405 nan nan NA NA
307 9744.447789907455 0.147559 9.46811 nan nan NA NA
308 9777.789787530899 0.120529 10.1661 nan nan NA NA
309 9811.963950634003 0.103063 10.298 nan nan NA NA
