epoch time D_loss G_loss mmd2 that pdf real_pdf
0 61.76218223571777 0.0290026 8.19554 1.03486 10348.6 NA NA
1 121.76753091812134 0.0814542 6.33812 0.375102 767.877 NA NA
2 172.05082321166992 0.0733056 5.1753 0.307656 743.408 NA NA
3 223.3570466041565 0.35217 2.7472 0.0888202 57.7123 NA NA
4 277.81693983078003 0.153537 4.06925 0.369028 621.339 NA NA
5 332.4079496860504 0.346143 2.91016 0.00574231 57.4231 NA NA
6 382.8207564353943 0.562448 3.63164 0.0923924 185.985 NA NA
7 434.1835107803345 1.12796 2.64596 0.120813 80.8879 NA NA
8 484.68209505081177 0.381827 2.74878 0.3701 94.4214 NA NA
9 535.6231551170349 0.741368 2.06548 0.374226 76.026 NA NA
10 585.3686225414276 0.76316 1.97357 0.232882 107.165 NA NA
11 636.791298866272 0.777206 1.9746 0.0866361 63.5925 NA NA
12 687.551155090332 0.771005 1.61052 0.361033 122.505 NA NA
13 737.3175609111786 0.395414 2.51387 0.03952 70.7198 NA NA
14 790.3090744018555 0.581841 2.39913 0.00949776 58.9323 NA NA
15 847.9549059867859 0.764392 1.4977 0.00226045 22.6045 NA NA
16 906.4997100830078 0.810416 1.33974 0.002388 23.88 NA NA
17 964.6451930999756 0.634663 2.31464 0.0036844 36.844 NA NA
18 1016.215824842453 0.530765 3.1775 0.0049603 49.603 NA NA
19 1075.2105588912964 0.661541 2.144 0.00274348 27.4348 NA NA
20 1127.0023019313812 0.612241 1.95917 0.00293601 29.3601 NA NA
21 1186.2221608161926 0.529405 2.13771 0.00412047 41.2047 NA NA
22 1244.3752126693726 0.59109 2.30388 0.00293696 29.3696 NA NA
23 1302.568650484085 0.574825 2.19874 0.00473905 47.3905 NA NA
24 1361.2308514118195 0.633348 1.89294 0.00273132 27.3132 NA NA
25 1419.666160106659 0.486086 2.11135 0.0043869 43.869 NA NA
26 1476.9876508712769 0.434768 2.48857 0.00530005 53.0005 NA NA
27 1534.7468099594116 0.338242 2.94404 0.00312829 31.2829 NA NA
28 1589.519376039505 0.493027 3.40301 0.00418556 41.8556 NA NA
29 1644.639658689499 0.633275 2.98247 0.00396562 39.6562 NA NA
30 1702.84228682518 0.303842 3.38163 0.00368881 36.8881 NA NA
31 1757.7548151016235 0.705154 2.03259 0.00408018 40.8018 NA NA
32 1815.6806123256683 0.445936 2.56397 0.00447929 44.7929 NA NA
33 1873.3881783485413 0.610295 2.23022 0.00383341 38.3341 NA NA
34 1933.3752031326294 0.583867 2.38992 0.00255871 25.5871 NA NA
35 1992.1790449619293 0.424408 2.68912 0.0046953 46.953 NA NA
36 2051.1398854255676 0.605346 2.18925 0.00230396 23.0396 NA NA
37 2108.7472245693207 0.412633 3.19283 0.00362623 36.2623 NA NA
38 2167.7365391254425 0.546935 2.12728 0.00269818 26.9818 NA NA
39 2226.762039899826 0.467933 2.61992 0.00513315 51.3315 NA NA
40 2285.5670347213745 0.389101 3.46409 0.00266695 26.6695 NA NA
41 2345.677021741867 0.564666 1.90149 0.00273502 27.3502 NA NA
42 2404.893975496292 1.02566 3.8782 0.00422299 42.2299 NA NA
